timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1591760092942,369,标记任务开始,200,OK,线程组 1-1,text,true,,9,0,1,1,null,369,0,362
1591760093312,4,获取账号,200,OK,线程组 1-1,text,true,,18,0,1,1,null,3,0,0
1591760093316,7,锁定账号,200,OK,线程组 1-1,text,true,,9,0,1,1,null,6,0,0
1591760093323,1,获取仓库及会员信息,200,OK,线程组 1-1,text,true,,102,0,1,1,null,1,0,0
1591760093324,2,获取oms配置信息,200,OK,线程组 1-1,text,true,,32,0,1,1,null,1,0,0
1591760093326,1,获取wi配置信息,200,OK,线程组 1-1,text,true,,31,0,1,1,null,1,0,0
1591760093327,1,获取basic配置信息,200,OK,线程组 1-1,text,true,,44,0,1,1,null,1,0,0
1591760093328,1,获取os配置信息,200,OK,线程组 1-1,text,true,,31,0,1,1,null,1,0,0
1591760093330,1,获取opw配置信息,200,OK,线程组 1-1,text,true,,32,0,1,1,null,0,0,0
1591760093331,1,获取op配置信息,200,OK,线程组 1-1,text,true,,31,0,1,1,null,1,0,0
1591760093332,1,获取opr配置信息,200,OK,线程组 1-1,text,true,,32,0,1,1,null,1,0,0
1591760093333,1,获取master配置信息,200,OK,线程组 1-1,text,true,,35,0,1,1,null,1,0,0
1591760093335,1,获取so配置信息,200,OK,线程组 1-1,text,true,,31,0,1,1,null,1,0,0
1591760093336,1,获取Strategy配置信息,200,OK,线程组 1-1,text,true,,37,0,1,1,null,1,0,0
1591760093337,1,获取capacity配置信息,200,OK,线程组 1-1,text,true,,37,0,1,1,null,1,0,0
1591760093399,128,登陆,200,OK,线程组 1-1,text,true,,90858,1638,1,1,http://basic.uat.fineex.net/Home/Index,61,0,28
1591760093399,61,登陆-0,302,Found,线程组 1-1,text,true,,1201,762,1,1,http://basic.uat.fineex.net/Login,61,0,28
1591760093465,62,登陆-1,200,OK,线程组 1-1,text,true,,89657,876,1,1,http://basic.uat.fineex.net/Home/Index,49,0,0
1591760093530,187,常用分拣查询,200,OK,线程组 1-1,text,true,,710,1425,1,1,http://os.uat.fineex.net/Order/CommonBuying/Query,187,0,11
1591760093718,17,创建单SKU波次,200,OK,线程组 1-1,text,false,Test failed: text expected to contain /true/,734,1961,1,1,http://os.uat.fineex.net/Order/CommonBuying/SaveBatchOrder,17,0,0
1591760093738,6,释放登陆账号,200,OK,线程组 1-1,text,true,,9,0,1,1,null,6,0,0
1591760093760,6,标记任务结果,200,OK,线程组 1-1,text,true,,9,0,1,1,null,6,0,0
1591760093766,2,变更任务状态,200,OK,线程组 1-1,text,true,,9,0,1,1,null,2,0,0
