timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1591763263041,582,标记任务开始,200,OK,线程组 1-1,text,true,,9,0,1,1,null,582,0,580
1591763263625,4,获取账号,200,OK,线程组 1-1,text,true,,18,0,1,1,null,2,0,0
1591763263629,6,锁定账号,200,OK,线程组 1-1,text,true,,9,0,1,1,null,6,0,0
1591763263635,1,获取仓库及会员信息,200,OK,线程组 1-1,text,true,,102,0,1,1,null,1,0,0
1591763263636,1,获取oms配置信息,200,OK,线程组 1-1,text,true,,32,0,1,1,null,1,0,0
1591763263638,1,获取wi配置信息,200,OK,线程组 1-1,text,true,,31,0,1,1,null,1,0,0
1591763263639,1,获取basic配置信息,200,OK,线程组 1-1,text,true,,44,0,1,1,null,1,0,0
1591763263640,2,获取os配置信息,200,OK,线程组 1-1,text,true,,31,0,1,1,null,2,0,0
1591763263642,1,获取opw配置信息,200,OK,线程组 1-1,text,true,,32,0,1,1,null,1,0,0
1591763263643,1,获取op配置信息,200,OK,线程组 1-1,text,true,,31,0,1,1,null,1,0,0
1591763263644,2,获取opr配置信息,200,OK,线程组 1-1,text,true,,32,0,1,1,null,1,0,0
1591763263646,1,获取master配置信息,200,OK,线程组 1-1,text,true,,35,0,1,1,null,1,0,0
1591763263647,1,获取so配置信息,200,OK,线程组 1-1,text,true,,31,0,1,1,null,1,0,0
1591763263648,1,获取Strategy配置信息,200,OK,线程组 1-1,text,true,,37,0,1,1,null,1,0,0
1591763263649,1,获取capacity配置信息,200,OK,线程组 1-1,text,true,,37,0,1,1,null,1,0,0
1591763263709,182,登陆,200,OK,线程组 1-1,text,true,,90858,1638,1,1,http://basic.uat.fineex.net/Home/Index,91,0,53
1591763263709,91,登陆-0,302,Found,线程组 1-1,text,true,,1201,762,1,1,http://basic.uat.fineex.net/Login,91,0,53
1591763263804,87,登陆-1,200,OK,线程组 1-1,text,true,,89657,876,1,1,http://basic.uat.fineex.net/Home/Index,51,0,0
1591763264896,37,获取入库单号,200,OK,线程组 1-1,text,true,,631,895,1,1,http://wi.uat.fineex.net/WareHouseIN/EditAccep/getWareHouseInCode,37,0,7
1591763264940,1235,获取待入库商品,200,OK,线程组 1-1,text,true,,7607,1142,1,1,http://master.uat.fineex.net/BasicInfo/Commodity/CommodityQuery?sortName=MixTypeName&sortOrder=asc&pageSize=3&pageNumber=1&MemberName=%E9%80%B8%E4%BB%99%E7%94%B5%E5%95%86&MemberID=25346&BarCode=&CommodityCode=&CommodityName=&CatalogName=&CatalogID=&UnitFlag=&isPackageBox=%E5%85%A8%E9%83%A8&ISBanAviation=%E5%85%A8%E9%83%A8&LogCodeFlag=%E5%85%A8%E9%83%A8,1235,0,8
1591763266299,25,生成入库单,200,OK,线程组 1-1,text,true,,566,3048,1,1,http://wi.uat.fineex.net/WareHouseIN/EditAccep/saveWareHouseIn,25,0,0
1591763267326,38,获取入库单号,200,OK,线程组 1-1,text,true,,543,939,1,1,http://wi.uat.fineex.net/WareHouseIN/EditAccep/getWareHouseInCode,38,0,7
1591763267368,1206,获取待入库商品,200,OK,线程组 1-1,text,true,,7519,1186,1,1,http://master.uat.fineex.net/BasicInfo/Commodity/CommodityQuery?sortName=MixTypeName&sortOrder=asc&pageSize=3&pageNumber=1&MemberName=%E9%80%B8%E4%BB%99%E7%94%B5%E5%95%86&MemberID=25346&BarCode=&CommodityCode=&CommodityName=&CatalogName=&CatalogID=&UnitFlag=&isPackageBox=%E5%85%A8%E9%83%A8&ISBanAviation=%E5%85%A8%E9%83%A8&LogCodeFlag=%E5%85%A8%E9%83%A8,1206,0,18
1591763268612,24,生成入库单,200,OK,线程组 1-1,text,true,,566,3048,1,1,http://wi.uat.fineex.net/WareHouseIN/EditAccep/saveWareHouseIn,24,0,0
