timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1591763312130,367,标记任务开始,200,OK,线程组 1-1,text,true,,9,0,1,1,null,367,0,365
1591763312499,5,获取账号,200,OK,线程组 1-1,text,true,,18,0,1,1,null,3,0,0
1591763312504,16,锁定账号,200,OK,线程组 1-1,text,true,,9,0,1,1,null,16,0,0
1591763312520,2,获取仓库及会员信息,200,OK,线程组 1-1,text,true,,102,0,1,1,null,2,0,0
1591763312522,2,获取oms配置信息,200,OK,线程组 1-1,text,true,,32,0,1,1,null,1,0,0
1591763312524,2,获取wi配置信息,200,OK,线程组 1-1,text,true,,31,0,1,1,null,2,0,0
1591763312526,1,获取basic配置信息,200,OK,线程组 1-1,text,true,,44,0,1,1,null,1,0,0
1591763312527,2,获取os配置信息,200,OK,线程组 1-1,text,true,,31,0,1,1,null,2,0,0
1591763312529,2,获取opw配置信息,200,OK,线程组 1-1,text,true,,32,0,1,1,null,2,0,0
1591763312532,1,获取op配置信息,200,OK,线程组 1-1,text,true,,31,0,1,1,null,1,0,0
1591763312533,2,获取opr配置信息,200,OK,线程组 1-1,text,true,,32,0,1,1,null,2,0,0
1591763312535,1,获取master配置信息,200,OK,线程组 1-1,text,true,,35,0,1,1,null,1,0,0
1591763312536,2,获取so配置信息,200,OK,线程组 1-1,text,true,,31,0,1,1,null,2,0,1
1591763312538,1,获取Strategy配置信息,200,OK,线程组 1-1,text,true,,37,0,1,1,null,1,0,0
1591763312539,1,获取capacity配置信息,200,OK,线程组 1-1,text,true,,37,0,1,1,null,1,0,0
1591763312606,178,登陆,200,OK,线程组 1-1,text,true,,90858,1638,1,1,http://basic.uat.fineex.net/Home/Index,104,0,26
1591763312606,104,登陆-0,302,Found,线程组 1-1,text,true,,1201,762,1,1,http://basic.uat.fineex.net/Login,104,0,26
1591763312715,69,登陆-1,200,OK,线程组 1-1,text,true,,89657,876,1,1,http://basic.uat.fineex.net/Home/Index,54,0,0
1591763312787,89,查询来源库位信息,200,OK,线程组 1-1,text,true,,14424,1170,1,1,http://wi.uat.fineex.net/DataCenter/PosStorageSearch/QueryStorage?sortName=Amount&sortOrder=desc&pageSize=10&pageNumber=1&MemberNo=0210045308&MemberID=25346&WareHouseName=%E5%98%89%E5%90%883%E4%BB%93&WarehouseID=23361&Codes=&PosCode=&PosType=1&CommodityName=&CommodityCode=&Code=&BarCode=&PageSize=100&PageCurrent=1,88,0,6
1591763312881,70,查询目标库位信息,200,OK,线程组 1-1,text,true,,13834,1213,1,1,http://wi.uat.fineex.net/DataCenter/PosStorageSearch/QueryStorage?sortName=Amount&sortOrder=asc&pageSize=10&pageNumber=1&MemberNo=0210045308&MemberID=25346&WareHouseName=%E5%98%89%E5%90%883%E4%BB%93&WarehouseID=23361&Codes=&PosCode=&PosType=1&CommodityName=&CommodityCode=&Code=&BarCode=&PageSize=100&PageCurrent=1,70,0,0
1591763313955,26,获取移库单号,200,OK,线程组 1-1,text,true,,542,907,1,1,http://wi.uat.fineex.net/OnWareHouse/WarehouseWork/GetMoveCode,26,0,0
1591763314985,113,来源库位,200,OK,线程组 1-1,text,true,,806,1008,1,1,http://wi.uat.fineex.net/OnWareHouse/WarehouseWork/QueryPos?sortName=PosCode&sortOrder=asc&pageSize=20&pageNumber=1&PosCode=test&CommodityCode=&BarCode=&PosType=0&PosPropertyType=0&StockType=0&WarehouseId=23361&MemberId=25346,113,0,6
1591763316102,112,目标库位,200,OK,线程组 1-1,text,true,,807,983,1,1,http://wi.uat.fineex.net/OnWareHouse/WarehouseWork/QueryPos?sortName=PosCode&sortOrder=asc&pageSize=20&pageNumber=1&PosCode=527-3&CommodityCode=&BarCode=&PosType=0&PosPropertyType=0&StockType=0&WarehouseId=23361&MemberId=25346,112,0,0
1591763317217,80,获取库位商品信息,200,OK,线程组 1-1,text,true,,3834,1052,1,1,http://wi.uat.fineex.net/OnWareHouse/WarehouseWork/QueryCommodity?sortName=ID&sortOrder=asc&MemberNo=0210045308&MemberID=25346&WareHouseName=%E5%98%89%E5%90%883%E4%BB%93&WarehouseID=23361&OriginPos=test&OriginPosID=14741309&DestinyPos=527-3&DestinyPosID=14738809&WarehouseId=23361&MemberId=25346,80,0,7
1591763318370,74,完成移库,200,OK,线程组 1-1,text,true,,687,1585,1,1,http://wi.uat.fineex.net/OnWareHouse/WarehouseWork/SaveAddTransfer,74,0,0
1591763319450,25,确认移库结果,200,OK,线程组 1-1,text,true,,2404,1138,1,1,http://wi.uat.fineex.net/OnWareHouse/WarehouseWork/QueryMove?sortOrder=desc&pageSize=20&pageNumber=1&CreateTime=2020-06-10+00%3A00%3A00+%7E+2020-06-10+23%3A59%3A59&MemberNo=&MemberID=&WareHouseName=%E5%98%89%E5%90%883%E4%BB%93&WarehouseID=23361&MoveCode=YP550200610000004&BusinessID=&StartTime=2020-06-10+00%3A00%3A00+&EndTime=+2020-06-10+23%3A59%3A59&PageSize=20&PageCurrent=1,25,0,7
1591763319477,39,释放登陆账号,200,OK,线程组 1-1,text,true,,9,0,1,1,null,39,0,0
1591763319544,12,标记任务结果,200,OK,线程组 1-1,text,true,,9,0,1,1,null,12,0,0
1591763319557,1,变更任务状态,200,OK,线程组 1-1,text,true,,9,0,1,1,null,1,0,0
