timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1591766361042,632,标记任务开始,200,OK,线程组 1-1,text,true,,9,0,1,1,null,632,0,629
1591766361676,5,获取账号,200,OK,线程组 1-1,text,true,,18,0,1,1,null,4,0,0
1591766361681,11,锁定账号,200,OK,线程组 1-1,text,true,,9,0,1,1,null,11,0,0
1591766361692,2,获取仓库及会员信息,200,OK,线程组 1-1,text,true,,102,0,1,1,null,2,0,0
1591766361694,1,获取oms配置信息,200,OK,线程组 1-1,text,true,,32,0,1,1,null,1,0,0
1591766361696,1,获取wi配置信息,200,OK,线程组 1-1,text,true,,31,0,1,1,null,1,0,0
1591766361698,1,获取basic配置信息,200,OK,线程组 1-1,text,true,,44,0,1,1,null,1,0,0
1591766361699,2,获取os配置信息,200,OK,线程组 1-1,text,true,,31,0,1,1,null,1,0,0
1591766361702,3,获取opw配置信息,200,OK,线程组 1-1,text,true,,32,0,1,1,null,2,0,0
1591766361705,2,获取op配置信息,200,OK,线程组 1-1,text,true,,31,0,1,1,null,2,0,0
1591766361707,1,获取opr配置信息,200,OK,线程组 1-1,text,true,,32,0,1,1,null,1,0,0
1591766361709,1,获取master配置信息,200,OK,线程组 1-1,text,true,,35,0,1,1,null,1,0,0
1591766361710,1,获取so配置信息,200,OK,线程组 1-1,text,true,,31,0,1,1,null,1,0,0
1591766362159,254,登陆,200,OK,线程组 1-1,text,true,,90858,1638,1,1,http://basic.uat.fineex.net/Home/Index,184,0,79
1591766362159,184,登陆-0,302,Found,线程组 1-1,text,true,,1201,762,1,1,http://basic.uat.fineex.net/Login,184,0,79
1591766362349,64,登陆-1,200,OK,线程组 1-1,text,true,,89657,876,1,1,http://basic.uat.fineex.net/Home/Index,51,0,0
1591766362416,6,获取URL地址信息,200,OK,线程组 1-1,text,true,,25659,0,1,1,null,4,0,0
1591766362435,67,http://Master.uat.fineex.net/BasicInfo/Commodity/Commodity?systemCode=wms&moduleTitle=商品管理,200,OK,线程组 1-1,text,true,,17873,484,1,1,http://Master.uat.fineex.net/BasicInfo/Commodity/Commodity?systemCode=wms&moduleTitle=商品管理,67,0,25
1591766362509,24,http://Master.uat.fineex.net/BasicInfo/CategoryManage/CategoryManage?systemCode=wms&moduleTitle=商品类别管理,200,OK,线程组 1-1,text,true,,7661,556,1,1,http://Master.uat.fineex.net/BasicInfo/CategoryManage/CategoryManage?systemCode=wms&moduleTitle=商品类别管理,24,0,0
1591766362535,89,http://WI.uat.fineex.net/MachiningInventory/BoxGaugeMassage/BoxGaugeMassage?systemCode=wms&moduleTitle=成品规格,200,OK,线程组 1-1,text,true,,8395,501,1,1,http://WI.uat.fineex.net/MachiningInventory/BoxGaugeMassage/BoxGaugeMassage?systemCode=wms&moduleTitle=成品规格,89,0,8
1591766362626,50,http://OMS.uat.fineex.net/OmsShop/OmsShop/OmsShop?systemCode=wms&moduleTitle=店铺管理,200,OK,线程组 1-1,text,true,,39957,475,1,1,http://OMS.uat.fineex.net/OmsShop/OmsShop/OmsShop?systemCode=wms&moduleTitle=店铺管理,42,0,5
1591766362677,71,http://OMS.uat.fineex.net/PlatformCommodity/JDCommodity/JDCommodity?systemCode=wms&moduleTitle=京东平台商品,200,OK,线程组 1-1,text,true,,8313,555,1,1,http://OMS.uat.fineex.net/PlatformCommodity/JDCommodity/JDCommodity?systemCode=wms&moduleTitle=京东平台商品,71,0,0
1591766362750,17,http://OMS.uat.fineex.net/PlatformCommodity/TBCommodity/TBCommodity?systemCode=wms&moduleTitle=淘宝平台商品,200,OK,线程组 1-1,text,true,,12597,555,1,1,http://OMS.uat.fineex.net/PlatformCommodity/TBCommodity/TBCommodity?systemCode=wms&moduleTitle=淘宝平台商品,17,0,0
1591766362768,15,http://Master.uat.fineex.net/BasicInfo/SortingLibrary/SortingLibrary?systemCode=wms&moduleTitle=分拣机库位,200,OK,线程组 1-1,text,true,,9708,547,1,1,http://Master.uat.fineex.net/BasicInfo/SortingLibrary/SortingLibrary?systemCode=wms&moduleTitle=分拣机库位,15,0,0
1591766362784,16,http://Master.uat.fineex.net/BasicInfo/StorageLocationManage/StorageLocationManage?systemCode=wms&moduleTitle=库位管理,200,OK,线程组 1-1,text,true,,15615,552,1,1,http://Master.uat.fineex.net/BasicInfo/StorageLocationManage/StorageLocationManage?systemCode=wms&moduleTitle=库位管理,16,0,0
1591766362801,14,http://Master.uat.fineex.net/BasicInfo/RepositoryGroup/RepositoryGroup?systemCode=wms&moduleTitle=库位组管理,200,OK,线程组 1-1,text,true,,10508,549,1,1,http://Master.uat.fineex.net/BasicInfo/RepositoryGroup/RepositoryGroup?systemCode=wms&moduleTitle=库位组管理,14,0,0
1591766362816,14,http://Master.uat.fineex.net/BasicInfo/CommodityApply/CommodityApplyList?systemCode=wms&moduleTitle=商品修改申请,200,OK,线程组 1-1,text,true,,15594,560,1,1,http://Master.uat.fineex.net/BasicInfo/CommodityApply/CommodityApplyList?systemCode=wms&moduleTitle=商品修改申请,13,0,0
1591766362831,16,http://Master.uat.fineex.net/BasicInfo/CommodityApply/CommodityVerifyList?systemCode=wms&moduleTitle=商品审核管理,200,OK,线程组 1-1,text,true,,13091,561,1,1,http://Master.uat.fineex.net/BasicInfo/CommodityApply/CommodityVerifyList?systemCode=wms&moduleTitle=商品审核管理,16,0,0
1591766362848,18,http://Master.uat.fineex.net/BasicInfo/CertificateManage/CertificateManage?systemCode=wms&moduleTitle=合格证维护,200,OK,线程组 1-1,text,true,,27921,553,1,1,http://Master.uat.fineex.net/BasicInfo/CertificateManage/CertificateManage?systemCode=wms&moduleTitle=合格证维护,16,0,0
1591766362867,35,http://SO.uat.fineex.net/Order/LPN/LPN?systemCode=wms&moduleTitle=容器管理,200,OK,线程组 1-1,text,true,,11246,464,1,1,http://SO.uat.fineex.net/Order/LPN/LPN?systemCode=wms&moduleTitle=容器管理,34,0,5
1591766362902,14,http://Master.uat.fineex.net/BasicInfo/IdCodeSetting/IdCodeSetting?systemCode=wms&moduleTitle=识别码配置,200,OK,线程组 1-1,text,true,,13231,545,1,1,http://Master.uat.fineex.net/BasicInfo/IdCodeSetting/IdCodeSetting?systemCode=wms&moduleTitle=识别码配置,14,0,0
1591766362917,18,http://Master.uat.fineex.net/BasicInfo/RunningNumber/RunningNumber?systemCode=wms&moduleTitle=流水线管理,200,OK,线程组 1-1,text,true,,13465,545,1,1,http://Master.uat.fineex.net/BasicInfo/RunningNumber/RunningNumber?systemCode=wms&moduleTitle=流水线管理,18,0,0
1591766362936,14,http://Master.uat.fineex.net/BasicInfo/SystemPersonalizedSettings/SystemPersonalizedSettings?systemCode=wms&moduleTitle=系统配置,200,OK,线程组 1-1,text,true,,9171,562,1,1,http://Master.uat.fineex.net/BasicInfo/SystemPersonalizedSettings/SystemPersonalizedSettings?systemCode=wms&moduleTitle=系统配置,14,0,0
1591766362951,15,http://Master.uat.fineex.net/BasicInfo/CardConfiguration/CardConfiguration?systemCode=wms&moduleTitle=卡片配置,200,OK,线程组 1-1,text,true,,14294,544,1,1,http://Master.uat.fineex.net/BasicInfo/CardConfiguration/CardConfiguration?systemCode=wms&moduleTitle=卡片配置,15,0,0
1591766362967,93,http://OMS.uat.fineex.net/InterfaceConfig/Customer/InterfaceAllocation?systemCode=wms&moduleTitle=会员接口,200,OK,线程组 1-1,text,true,,23602,540,1,1,http://OMS.uat.fineex.net/InterfaceConfig/Customer/InterfaceAllocation?systemCode=wms&moduleTitle=会员接口,92,0,0
1591766363061,20,http://OMS.uat.fineex.net/InterfaceConfig/Express/ExpressInterface?systemCode=wms&moduleTitle=网点接口,200,OK,线程组 1-1,text,true,,20286,536,1,1,http://OMS.uat.fineex.net/InterfaceConfig/Express/ExpressInterface?systemCode=wms&moduleTitle=网点接口,19,0,0
