timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1591767521762,828,标记任务开始,200,OK,线程组 1-1,text,true,,9,0,1,1,null,828,0,826
1591767522591,5,获取账号,200,OK,线程组 1-1,text,true,,18,0,1,1,null,3,0,0
1591767522596,7,锁定账号,200,OK,线程组 1-1,text,true,,9,0,1,1,null,7,0,0
1591767522603,1,获取仓库及会员信息,200,OK,线程组 1-1,text,true,,113,0,1,1,null,1,0,0
1591767522604,2,获取oms配置信息,200,OK,线程组 1-1,text,true,,34,0,1,1,null,1,0,0
1591767522606,1,获取wi配置信息,200,OK,线程组 1-1,text,true,,40,0,1,1,null,1,0,0
1591767522607,1,获取basic配置信息,200,OK,线程组 1-1,text,true,,46,0,1,1,null,1,0,0
1591767522609,1,获取os配置信息,200,OK,线程组 1-1,text,true,,40,0,1,1,null,1,0,0
1591767522610,1,获取opw配置信息,200,OK,线程组 1-1,text,true,,38,0,1,1,null,1,0,0
1591767522611,1,获取op配置信息,200,OK,线程组 1-1,text,true,,40,0,1,1,null,1,0,0
1591767522612,1,获取opr配置信息,200,OK,线程组 1-1,text,true,,38,0,1,1,null,1,0,0
1591767522614,0,获取master配置信息,200,OK,线程组 1-1,text,true,,41,0,1,1,null,0,0,0
1591767522615,1,获取so配置信息,200,OK,线程组 1-1,text,true,,37,0,1,1,null,1,0,0
1591767522616,1,获取Strategy配置信息,200,OK,线程组 1-1,text,true,,43,0,1,1,null,1,0,0
1591767522617,2,获取capacity配置信息,200,OK,线程组 1-1,text,true,,43,0,1,1,null,1,0,1
1591767522692,219,登陆,200,OK,线程组 1-1,text,true,,92286,1642,1,1,http://cloud.basic.fineex.net/Home/Index,107,0,57
1591767522692,107,登陆-0,302,Found,线程组 1-1,text,true,,1187,764,1,1,http://cloud.basic.fineex.net/Login,107,0,57
1591767522806,105,登陆-1,200,OK,线程组 1-1,text,true,,91099,878,1,1,http://cloud.basic.fineex.net/Home/Index,77,0,0
1591767522914,46,WI站点仓库控件,200,OK,线程组 1-1,text,true,,769,918,1,1,http://cloud.wms.wi.b1.fineex.net/Basedata/GetBasedata?elementType=GetUserAllWarehouseData&sortOrder=asc&_=1591767520688,46,0,12
1591767522963,17,WI站点会员控件,200,OK,线程组 1-1,text,true,,4440,961,1,1,http://cloud.wms.wi.b1.fineex.net/Basedata/GetBasedata?elementType=GetWarehouseMemberData&sortOrder=asc&_=1591767520688,17,0,0
1591767522982,57,master站点仓库控件,200,OK,线程组 1-1,text,true,,767,919,1,1,http://cloud.wms.master.fineex.net/Basedata/GetBasedata?elementType=GetUserAllWarehouseData&sortOrder=asc&_=1591767520688,57,0,18
1591767523040,22,master站点会员控件,200,OK,线程组 1-1,text,true,,4438,962,1,1,http://cloud.wms.master.fineex.net/Basedata/GetBasedata?elementType=GetWarehouseMemberData&sortOrder=asc&_=1591767520688,21,0,0
1591767523063,63,OMS站点仓库控件,200,OK,线程组 1-1,text,true,,769,912,1,1,http://cloud.oms.fineex.net/Basedata/GetBasedata?elementType=GetUserAllWarehouseData&sortOrder=asc&_=1591767520688,63,0,22
1591767523127,23,OMS站点会员控件,200,OK,线程组 1-1,text,true,,4440,955,1,1,http://cloud.oms.fineex.net/Basedata/GetBasedata?elementType=GetWarehouseMemberData&sortOrder=asc&_=1591767520688,22,0,0
1591767523151,47,SO站点仓库控件,200,OK,线程组 1-1,text,true,,769,915,1,1,http://cloud.wms.so.fineex.net/Basedata/GetBasedata?elementType=GetUserAllWarehouseData&sortOrder=asc&_=1591767520688,47,0,13
1591767523199,23,SO站点会员控件,200,OK,线程组 1-1,text,true,,4440,958,1,1,http://cloud.wms.so.fineex.net/Basedata/GetBasedata?elementType=GetWarehouseMemberData&sortOrder=asc&_=1591767520688,23,0,0
1591767523223,129,Strategy站点仓库控件,200,OK,线程组 1-1,text,true,,769,921,1,1,http://cloud.wms.strategy.fineex.net/Basedata/GetBasedata?elementType=GetUserAllWarehouseData&sortOrder=asc&_=1591767520688,129,0,95
1591767523354,22,Strategy站点会员控件,200,OK,线程组 1-1,text,true,,4440,964,1,1,http://cloud.wms.strategy.fineex.net/Basedata/GetBasedata?elementType=GetWarehouseMemberData&sortOrder=asc&_=1591767520688,22,0,0
1591767523378,76,OS站点仓库控件,200,OK,线程组 1-1,text,true,,769,918,1,1,http://cloud.wms.os.b1.fineex.net/Basedata/GetBasedata?elementType=GetUserAllWarehouseData&sortOrder=asc&_=1591767520688,76,0,48
1591767523455,16,OS站点会员控件,200,OK,线程组 1-1,text,true,,4440,961,1,1,http://cloud.wms.os.b1.fineex.net/Basedata/GetBasedata?elementType=GetWarehouseMemberData&sortOrder=asc&_=1591767520688,16,0,0
1591767523473,47,OP站点仓库控件,200,OK,线程组 1-1,text,true,,769,918,1,1,http://cloud.wms.op.b1.fineex.net/Basedata/GetBasedata?elementType=GetUserAllWarehouseData&sortOrder=asc&_=1591767520688,47,0,11
1591767523521,17,OP站点会员控件,200,OK,线程组 1-1,text,true,,4440,961,1,1,http://cloud.wms.op.b1.fineex.net/Basedata/GetBasedata?elementType=GetWarehouseMemberData&sortOrder=asc&_=1591767520688,17,0,0
1591767523539,128,OPR站点仓库控件,200,OK,线程组 1-1,text,true,,769,916,1,1,http://cloud.wms.opr.fineex.net/Basedata/GetBasedata?elementType=GetUserAllWarehouseData&sortOrder=asc&_=1591767520688,128,0,91
1591767523668,19,OPR站点会员控件,200,OK,线程组 1-1,text,true,,4440,959,1,1,http://cloud.wms.opr.fineex.net/Basedata/GetBasedata?elementType=GetWarehouseMemberData&sortOrder=asc&_=1591767520688,19,0,0
1591767523689,111,OPW站点仓库控件,200,OK,线程组 1-1,text,true,,769,916,1,1,http://cloud.wms.opw.fineex.net/Basedata/GetBasedata?elementType=GetUserAllWarehouseData&sortOrder=asc&_=1591767520688,111,0,52
1591767523801,15,OPW站点会员控件,200,OK,线程组 1-1,text,true,,4440,959,1,1,http://cloud.wms.opw.fineex.net/Basedata/GetBasedata?elementType=GetWarehouseMemberData&sortOrder=asc&_=1591767520688,15,0,0
1591767523819,59,capacity站点仓库控件,200,OK,线程组 1-1,text,true,,767,921,1,1,http://cloud.wms.capacity.fineex.net/Basedata/GetBasedata?elementType=GetUserAllWarehouseData&sortOrder=asc&_=1591767520688,59,0,18
1591767523879,23,capacity站点会员控件,200,OK,线程组 1-1,text,true,,4438,964,1,1,http://cloud.wms.capacity.fineex.net/Basedata/GetBasedata?elementType=GetWarehouseMemberData&sortOrder=asc&_=1591767520688,23,0,0
1591767523902,8,释放登陆账号,200,OK,线程组 1-1,text,true,,9,0,1,1,null,8,0,0
1591767523923,7,标记任务结果,200,OK,线程组 1-1,text,true,,9,0,1,1,null,7,0,0
1591767523930,1,变更任务状态,200,OK,线程组 1-1,text,true,,9,0,1,1,null,1,0,0
