timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1591767544320,1011,标记任务开始,200,OK,线程组 1-1,text,true,,9,0,1,1,null,1011,0,1009
1591767545334,9,获取账号,200,OK,线程组 1-1,text,true,,18,0,1,1,null,3,0,0
1591767545343,6,锁定账号,200,OK,线程组 1-1,text,true,,9,0,1,1,null,5,0,0
1591767545349,1,获取仓库及会员信息,200,OK,线程组 1-1,text,true,,113,0,1,1,null,1,0,0
1591767545350,2,获取oms配置信息,200,OK,线程组 1-1,text,true,,34,0,1,1,null,2,0,0
1591767545352,2,获取wi配置信息,200,OK,线程组 1-1,text,true,,40,0,1,1,null,2,0,0
1591767545354,1,获取basic配置信息,200,OK,线程组 1-1,text,true,,46,0,1,1,null,1,0,0
1591767545355,2,获取os配置信息,200,OK,线程组 1-1,text,true,,40,0,1,1,null,2,0,0
1591767545357,1,获取opw配置信息,200,OK,线程组 1-1,text,true,,38,0,1,1,null,1,0,0
1591767545358,2,获取op配置信息,200,OK,线程组 1-1,text,true,,40,0,1,1,null,1,0,0
1591767545360,1,获取opr配置信息,200,OK,线程组 1-1,text,true,,38,0,1,1,null,1,0,0
1591767545361,1,获取master配置信息,200,OK,线程组 1-1,text,true,,41,0,1,1,null,1,0,0
1591767545363,1,获取so配置信息,200,OK,线程组 1-1,text,true,,37,0,1,1,null,1,0,0
1591767545364,1,获取Strategy配置信息,200,OK,线程组 1-1,text,true,,43,0,1,1,null,1,0,0
1591767545365,2,获取capacity配置信息,200,OK,线程组 1-1,text,true,,43,0,1,1,null,2,0,0
1591767545446,215,登陆,200,OK,线程组 1-1,text,true,,92286,1642,1,1,http://cloud.basic.fineex.net/Home/Index,95,0,42
1591767545446,95,登陆-0,302,Found,线程组 1-1,text,true,,1187,764,1,1,http://cloud.basic.fineex.net/Login,95,0,42
1591767545550,111,登陆-1,200,OK,线程组 1-1,text,true,,91099,878,1,1,http://cloud.basic.fineex.net/Home/Index,76,0,0
1591767545669,52,查询已审核的波次,200,OK,线程组 1-1,text,true,,1150,1273,1,1,http://cloud.wms.os.b1.fineex.net/Order/OrderSorting/Query?sortName=CreateDate&sortOrder=desc&pageSize=1&pageNumber=1&CreateTime=2020-06-05+07%3A39%3A05+%7E+2020-06-10+23%3A59%3A59&WareHouseName%5B%5D=%E9%AA%8C%E6%94%B6%E6%B5%8B%E8%AF%95%E4%BB%93%7E%E9%AA%8C%E6%94%B6%E6%B5%8B%E8%AF%95%E4%BC%9A%E5%91%98&WareHouseName%5B%5D=26769&MemberNo=0010000167&MemberID=26770&WarehouseID=26769&OrderStatus=2&OrderType=3&DeliveryPlanTime=&OrderBatchID=&PickType=0&BatchAttribute=0&PageSize=1&PageCurrent=1,52,0,19
1591767545729,1,Debug Sampler,200,OK,线程组 1-1,text,true,,1998,0,1,1,null,0,0,0
1591767545731,24,确认打印波次,200,OK,线程组 1-1,text,true,,703,971,1,1,http://cloud.wms.os.b1.fineex.net/Order/OrderSorting/ConfirmPrint,24,0,0
1591767545760,20,查询已审核的波次,200,OK,线程组 1-1,text,true,,1076,1334,1,1,http://cloud.wms.os.b1.fineex.net/Order/OrderSorting/Query?sortName=CreateDate&sortOrder=desc&pageSize=1&pageNumber=1&CreateTime=2019-12-22+00%3A00%3A00+%7E+2020-06-10+23%3A59%3A59&WareHouseName%5B%5D=%E9%AA%8C%E6%94%B6%E6%B5%8B%E8%AF%95%E4%BB%93%7E%E9%AA%8C%E6%94%B6%E6%B5%8B%E8%AF%95%E4%BC%9A%E5%91%98&WareHouseName%5B%5D=26769&MemberNo=0010000167&MemberID=26770&WarehouseID=26769&OrderStatus=&OrderType=&DeliveryPlanTime=&OrderBatchID=FL22093200610002229&PickType=0&BatchAttribute=0&PageSize=1&PageCurrent=1,20,0,0
